SpeedDeltaInterval(start: 8000, end: 20000, value: 15.76923076923077, value description: avg, key: 167)
SpeedDeltaInterval(start: 13000, end: 21000, value: 18.11111111111111, value description: avg, key: 318)
SpeedDeltaInterval(start: 26000, end: 27000, value: 37.0, value description: avg, key: 116)
SpeedDeltaInterval(start: 28000, end: 29000, value: 37.0, value description: avg, key: 163)
SpeedDeltaInterval(start: 33000, end: 34000, value: 33.0, value description: avg, key: 223)
SpeedDeltaInterval(start: 32000, end: 33000, value: 35.5, value description: avg, key: 253)
SpeedDeltaInterval(start: 28000, end: 34000, value: 19.571428571428573, value description: avg, key: 607)
SpeedDeltaInterval(start: 23000, end: 33000, value: 23.09090909090909, value description: avg, key: 577)
SpeedDeltaInterval(start: 28000, end: 30000, value: 21.0, value description: avg, key: 621)
SpeedDeltaInterval(start: 26000, end: 31000, value: 18.0, value description: avg, key: 666)
SpeedDeltaInterval(start: 34000, end: 35000, value: 33.0, value description: avg, key: 237)
SpeedDeltaInterval(start: 26000, end: 29000, value: 18.5, value description: avg, key: 420)
SpeedDeltaInterval(start: 27000, end: 35000, value: 18.88888888888889, value description: avg, key: 677)
SpeedDeltaInterval(start: 31000, end: 32000, value: 36.5, value description: avg, key: 254)
SpeedDeltaInterval(start: 29000, end: 30000, value: 33.0, value description: avg, key: 114)
SpeedDeltaInterval(start: 28000, end: 31000, value: 17.25, value description: avg, key: 641)
SpeedDeltaInterval(start: 29000, end: 31000, value: 21.666666666666668, value description: avg, key: 723)
SpeedDeltaInterval(start: 29000, end: 30000, value: 34.5, value description: avg, key: 145)
SpeedDeltaInterval(start: 29000, end: 36000, value: 18.0, value description: avg, key: 729)
SpeedDeltaInterval(start: 31000, end: 32000, value: 36.5, value description: avg, key: 255)
SpeedDeltaInterval(start: 31000, end: 32000, value: 34.5, value description: avg, key: 182)
SpeedDeltaInterval(start: 30000, end: 34000, value: 16.4, value description: avg, key: 742)
SpeedDeltaInterval(start: 32000, end: 33000, value: 32.0, value description: avg, key: 142)
SpeedDeltaInterval(start: 25000, end: 30000, value: 23.666666666666668, value description: avg, key: 245)
SpeedDeltaInterval(start: 29000, end: 30000, value: 34.5, value description: avg, key: 139)
SpeedDeltaInterval(start: 27000, end: 33000, value: 17.0, value description: avg, key: 273)
SpeedDeltaInterval(start: 32000, end: 33000, value: 37.0, value description: avg, key: 288)
SpeedDeltaInterval(start: 32000, end: 35000, value: 23.0, value description: avg, key: 471)
SpeedDeltaInterval(start: 29000, end: 30000, value: 35.0, value description: avg, key: 146)
SpeedDeltaInterval(start: 30000, end: 31000, value: 35.5, value description: avg, key: 146)
SpeedDeltaInterval(start: 25000, end: 27000, value: 37.0, value description: avg, key: 108)
SpeedDeltaInterval(start: 30000, end: 31000, value: 38.0, value description: avg, key: 195)
SpeedDeltaInterval(start: 26000, end: 36000, value: 18.818181818181817, value description: avg, key: 318)
SpeedDeltaInterval(start: 35000, end: 36000, value: 28.5, value description: avg, key: 125)
SpeedDeltaInterval(start: 30000, end: 31000, value: 31.5, value description: avg, key: 106)
SpeedDeltaInterval(start: 28000, end: 29000, value: 24.5, value description: avg, key: 190)
SpeedDeltaInterval(start: 33000, end: 34000, value: 32.5, value description: avg, key: 208)
SpeedDeltaInterval(start: 28000, end: 29000, value: 36.5, value description: avg, key: 158)
SpeedDeltaInterval(start: 23000, end: 25000, value: 20.666666666666668, value description: avg, key: 542)
SpeedDeltaInterval(start: 29000, end: 30000, value: 37.0, value description: avg, key: 173)
SpeedDeltaInterval(start: 28000, end: 29000, value: 34.5, value description: avg, key: 115)
SpeedDeltaInterval(start: 30000, end: 31000, value: 31.5, value description: avg, key: 107)
SpeedDeltaInterval(start: 33000, end: 34000, value: 30.5, value description: avg, key: 157)
SpeedDeltaInterval(start: 33000, end: 34000, value: 32.5, value description: avg, key: 216)
SpeedDeltaInterval(start: 28000, end: 29000, value: 37.0, value description: avg, key: 164)
SpeedDeltaInterval(start: 35000, end: 36000, value: 31.5, value description: avg, key: 230)
SpeedDeltaInterval(start: 20000, end: 33000, value: 17.857142857142858, value description: avg, key: 500)
SpeedDeltaInterval(start: 31000, end: 32000, value: 32.5, value description: avg, key: 156)
SpeedDeltaInterval(start: 21000, end: 26000, value: 19.166666666666668, value description: avg, key: 559)
SpeedDeltaInterval(start: 33000, end: 34000, value: 33.0, value description: avg, key: 211)
SpeedDeltaInterval(start: 28000, end: 31000, value: 22.25, value description: avg, key: 198)
SpeedDeltaInterval(start: 31000, end: 34000, value: 24.25, value description: avg, key: 198)
SpeedDeltaInterval(start: 32000, end: 33000, value: 33.5, value description: avg, key: 169)
SpeedDeltaInterval(start: 35000, end: 36000, value: 32.0, value description: avg, key: 215)
SpeedDeltaInterval(start: 31000, end: 32000, value: 34.5, value description: avg, key: 152)
SpeedDeltaInterval(start: 31000, end: 36000, value: 18.5, value description: avg, key: 592)
SpeedDeltaInterval(start: 33000, end: 34000, value: 29.5, value description: avg, key: 124)
SpeedDeltaInterval(start: 32000, end: 33000, value: 31.0, value description: avg, key: 133)
SpeedDeltaInterval(start: 33000, end: 34000, value: 31.5, value description: avg, key: 133)
SpeedDeltaInterval(start: 32000, end: 33000, value: 34.5, value description: avg, key: 219)
SpeedDeltaInterval(start: 27000, end: 29000, value: 20.0, value description: avg, key: 622)
SpeedDeltaInterval(start: 12000, end: 30000, value: 21.105263157894736, value description: avg, key: 317)
SpeedDeltaInterval(start: 25000, end: 30000, value: 23.833333333333332, value description: avg, key: 347)
SpeedDeltaInterval(start: 30000, end: 32000, value: 20.333333333333332, value description: avg, key: 347)
SpeedDeltaInterval(start: 25000, end: 36000, value: 15.363636363636363, value description: avg, key: 402)
SpeedDeltaInterval(start: 37000, end: 38000, value: 30.5, value description: avg, key: 256)
SpeedDeltaInterval(start: 36000, end: 37000, value: 34.0, value description: avg, key: 241)
SpeedDeltaInterval(start: 37000, end: 38000, value: 30.5, value description: avg, key: 239)
SpeedDeltaInterval(start: 36000, end: 37000, value: 29.5, value description: avg, key: 196)
SpeedDeltaInterval(start: 32000, end: 37000, value: 17.333333333333332, value description: avg, key: 706)
SpeedDeltaInterval(start: 36000, end: 37000, value: 31.5, value description: avg, key: 276)
SpeedDeltaInterval(start: 37000, end: 38000, value: 32.0, value description: avg, key: 148)
SpeedDeltaInterval(start: 37000, end: 38000, value: 35.0, value description: avg, key: 290)
SpeedDeltaInterval(start: 35000, end: 38000, value: 19.25, value description: avg, key: 282)
SpeedDeltaInterval(start: 34000, end: 37000, value: 19.0, value description: avg, key: 820)
SpeedDeltaInterval(start: 37000, end: 38000, value: 31.5, value description: avg, key: 269)
SpeedDeltaInterval(start: 35000, end: 38000, value: 20.0, value description: avg, key: 829)
SpeedDeltaInterval(start: 32000, end: 37000, value: 17.0, value description: avg, key: 834)
SpeedDeltaInterval(start: 34000, end: 37000, value: 20.0, value description: avg, key: 853)
SpeedDeltaInterval(start: 36000, end: 38000, value: 21.666666666666668, value description: avg, key: 870)
SpeedDeltaInterval(start: 36000, end: 37000, value: 31.0, value description: avg, key: 190)
SpeedDeltaInterval(start: 37000, end: 38000, value: 37.0, value description: avg, key: 308)
SpeedDeltaInterval(start: 36000, end: 37000, value: 33.0, value description: avg, key: 300)
SpeedDeltaInterval(start: 37000, end: 38000, value: 17.5, value description: avg, key: 922)
SpeedDeltaInterval(start: 37000, end: 38000, value: 31.5, value description: avg, key: 304)
SpeedDeltaInterval(start: 36000, end: 37000, value: 34.5, value description: avg, key: 338)
SpeedDeltaInterval(start: 32000, end: 37000, value: 23.833333333333332, value description: avg, key: 347)
SpeedDeltaInterval(start: 37000, end: 38000, value: 33.0, value description: avg, key: 330)
SpeedDeltaInterval(start: 37000, end: 38000, value: 34.5, value description: avg, key: 356)
SpeedDeltaInterval(start: 41000, end: 42000, value: 29.5, value description: avg, key: 315)
SpeedDeltaInterval(start: 38000, end: 42000, value: 35.6, value description: avg, key: 383)
SpeedDeltaInterval(start: 45000, end: 46000, value: 37.0, value description: avg, key: 634)
SpeedDeltaInterval(start: 44000, end: 45000, value: 29.0, value description: avg, key: 366)
SpeedDeltaInterval(start: 38000, end: 39000, value: 29.5, value description: avg, key: 251)
SpeedDeltaInterval(start: 45000, end: 46000, value: 29.5, value description: avg, key: 335)
SpeedDeltaInterval(start: 36000, end: 39000, value: 20.0, value description: avg, key: 609)
SpeedDeltaInterval(start: 39000, end: 40000, value: 32.0, value description: avg, key: 244)
SpeedDeltaInterval(start: 12000, end: 47000, value: 23.38888888888889, value description: avg, key: 352)
SpeedDeltaInterval(start: 39000, end: 40000, value: 32.5, value description: avg, key: 373)
SpeedDeltaInterval(start: 41000, end: 44000, value: 38.25, value description: avg, key: 386)
SpeedDeltaInterval(start: 42000, end: 43000, value: 32.5, value description: avg, key: 236)
SpeedDeltaInterval(start: 43000, end: 46000, value: 33.25, value description: avg, key: 236)
SpeedDeltaInterval(start: 42000, end: 43000, value: 25.5, value description: avg, key: 382)
SpeedDeltaInterval(start: 41000, end: 42000, value: 27.5, value description: avg, key: 243)
SpeedDeltaInterval(start: 13000, end: 46000, value: 23.38235294117647, value description: avg, key: 370)
SpeedDeltaInterval(start: 45000, end: 46000, value: 33.0, value description: avg, key: 377)
SpeedDeltaInterval(start: 42000, end: 43000, value: 32.0, value description: avg, key: 416)
SpeedDeltaInterval(start: 43000, end: 44000, value: 33.5, value description: avg, key: 416)
SpeedDeltaInterval(start: 43000, end: 44000, value: 30.5, value description: avg, key: 410)
SpeedDeltaInterval(start: 41000, end: 42000, value: 33.0, value description: avg, key: 426)
SpeedDeltaInterval(start: 39000, end: 40000, value: 28.5, value description: avg, key: 262)
SpeedDeltaInterval(start: 44000, end: 45000, value: 34.0, value description: avg, key: 425)
SpeedDeltaInterval(start: 39000, end: 40000, value: 37.5, value description: avg, key: 388)
SpeedDeltaInterval(start: 40000, end: 43000, value: 36.75, value description: avg, key: 388)
SpeedDeltaInterval(start: 29000, end: 43000, value: 21.857142857142858, value description: avg, key: 700)
SpeedDeltaInterval(start: 36000, end: 42000, value: 20.4, value description: avg, key: 711)
SpeedDeltaInterval(start: 41000, end: 42000, value: 31.5, value description: avg, key: 400)
SpeedDeltaInterval(start: 38000, end: 40000, value: 30.666666666666668, value description: avg, key: 148)
SpeedDeltaInterval(start: 41000, end: 43000, value: 24.0, value description: avg, key: 723)
SpeedDeltaInterval(start: 41000, end: 43000, value: 20.333333333333332, value description: avg, key: 729)
SpeedDeltaInterval(start: 38000, end: 39000, value: 32.5, value description: avg, key: 291)
SpeedDeltaInterval(start: 36000, end: 45000, value: 19.0, value description: avg, key: 422)
SpeedDeltaInterval(start: 43000, end: 44000, value: 31.5, value description: avg, key: 444)
SpeedDeltaInterval(start: 44000, end: 45000, value: 30.5, value description: avg, key: 441)
SpeedDeltaInterval(start: 43000, end: 44000, value: 31.5, value description: avg, key: 452)
SpeedDeltaInterval(start: 44000, end: 47000, value: 29.75, value description: avg, key: 452)
SpeedDeltaInterval(start: 44000, end: 45000, value: 30.5, value description: avg, key: 449)
SpeedDeltaInterval(start: 30000, end: 39000, value: 16.0, value description: avg, key: 767)
SpeedDeltaInterval(start: 44000, end: 45000, value: 31.5, value description: avg, key: 413)
SpeedDeltaInterval(start: 44000, end: 45000, value: 30.5, value description: avg, key: 450)
SpeedDeltaInterval(start: 42000, end: 45000, value: 18.0, value description: avg, key: 282)
SpeedDeltaInterval(start: 40000, end: 41000, value: 30.5, value description: avg, key: 285)
SpeedDeltaInterval(start: 38000, end: 39000, value: 31.0, value description: avg, key: 278)
SpeedDeltaInterval(start: 43000, end: 44000, value: 33.0, value description: avg, key: 273)
SpeedDeltaInterval(start: 44000, end: 45000, value: 35.0, value description: avg, key: 460)
SpeedDeltaInterval(start: 41000, end: 42000, value: 30.0, value description: avg, key: 189)
SpeedDeltaInterval(start: 42000, end: 43000, value: 31.5, value description: avg, key: 235)
SpeedDeltaInterval(start: 43000, end: 45000, value: 30.666666666666668, value description: avg, key: 235)
SpeedDeltaInterval(start: 17000, end: 40000, value: 23.285714285714285, value description: avg, key: 289)
SpeedDeltaInterval(start: 38000, end: 42000, value: 24.2, value description: avg, key: 829)
SpeedDeltaInterval(start: 41000, end: 42000, value: 34.5, value description: avg, key: 469)
SpeedDeltaInterval(start: 44000, end: 45000, value: 34.5, value description: avg, key: 494)
SpeedDeltaInterval(start: 33000, end: 41000, value: 18.333333333333332, value description: avg, key: 844)
SpeedDeltaInterval(start: 41000, end: 42000, value: 30.5, value description: avg, key: 303)
SpeedDeltaInterval(start: 9000, end: 43000, value: 18.771428571428572, value description: avg, key: 305)
SpeedDeltaInterval(start: 42000, end: 43000, value: 34.5, value description: avg, key: 486)
SpeedDeltaInterval(start: 43000, end: 44000, value: 37.0, value description: avg, key: 524)
SpeedDeltaInterval(start: 8000, end: 47000, value: 19.625, value description: avg, key: 203)
SpeedDeltaInterval(start: 38000, end: 41000, value: 17.0, value description: avg, key: 913)
SpeedDeltaInterval(start: 35000, end: 46000, value: 21.5, value description: avg, key: 557)
SpeedDeltaInterval(start: 40000, end: 42000, value: 16.333333333333332, value description: avg, key: 960)
SpeedDeltaInterval(start: 38000, end: 39000, value: 28.5, value description: avg, key: 222)
SpeedDeltaInterval(start: 38000, end: 40000, value: 29.5, value description: avg, key: 299)
SpeedDeltaInterval(start: 38000, end: 39000, value: 28.5, value description: avg, key: 218)
SpeedDeltaInterval(start: 39000, end: 41000, value: 28.333333333333332, value description: avg, key: 218)
SpeedDeltaInterval(start: 36000, end: 38000, value: 31.5, value description: avg, key: 277)
SpeedDeltaInterval(start: 45000, end: 46000, value: 33.0, value description: avg, key: 518)
SpeedDeltaInterval(start: 42000, end: 43000, value: 30.5, value description: avg, key: 310)
SpeedDeltaInterval(start: 43000, end: 46000, value: 29.0, value description: avg, key: 310)
SpeedDeltaInterval(start: 36000, end: 39000, value: 30.666666666666668, value description: avg, key: 553)
SpeedDeltaInterval(start: 41000, end: 44000, value: 23.25, value description: avg, key: 553)
SpeedDeltaInterval(start: 40000, end: 41000, value: 35.0, value description: avg, key: 321)
SpeedDeltaInterval(start: 37000, end: 44000, value: 21.625, value description: avg, key: 538)
SpeedDeltaInterval(start: 37000, end: 39000, value: 20.666666666666668, value description: avg, key: 347)
SpeedDeltaInterval(start: 39000, end: 41000, value: 23.0, value description: avg, key: 347)
SpeedDeltaInterval(start: 45000, end: 46000, value: 33.0, value description: avg, key: 544)
SpeedDeltaInterval(start: 39000, end: 40000, value: 31.5, value description: avg, key: 343)
SpeedDeltaInterval(start: 40000, end: 41000, value: 28.0, value description: avg, key: 144)
SpeedDeltaInterval(start: 41000, end: 42000, value: 29.0, value description: avg, key: 144)
SpeedDeltaInterval(start: 44000, end: 45000, value: 32.5, value description: avg, key: 317)
SpeedDeltaInterval(start: 40000, end: 41000, value: 20.5, value description: avg, key: 500)
SpeedDeltaInterval(start: 39000, end: 40000, value: 28.5, value description: avg, key: 233)
SpeedDeltaInterval(start: 38000, end: 39000, value: 19.5, value description: avg, key: 622)
SpeedDeltaInterval(start: 42000, end: 46000, value: 20.0, value description: avg, key: 622)
SpeedDeltaInterval(start: 45000, end: 47000, value: 20.333333333333332, value description: avg, key: 986)
SpeedDeltaInterval(start: 41000, end: 42000, value: 29.5, value description: avg, key: 328)
SpeedDeltaInterval(start: 39000, end: 40000, value: 30.5, value description: avg, key: 324)
SpeedDeltaInterval(start: 36000, end: 39000, value: 23.25, value description: avg, key: 198)
SpeedDeltaInterval(start: 39000, end: 40000, value: 32.5, value description: avg, key: 345)
SpeedDeltaInterval(start: 40000, end: 41000, value: 28.5, value description: avg, key: 228)
SpeedDeltaInterval(start: 11000, end: 44000, value: 20.735294117647058, value description: avg, key: 327)
SpeedDeltaInterval(start: 46000, end: 47000, value: 21.5, value description: avg, key: 588)
SpeedDeltaInterval(start: 9000, end: 41000, value: 23.258064516129032, value description: avg, key: 213)
SpeedDeltaInterval(start: 39000, end: 40000, value: 34.5, value description: avg, key: 355)
SpeedDeltaInterval(start: 40000, end: 42000, value: 16.666666666666668, value description: avg, key: 636)
SpeedDeltaInterval(start: 45000, end: 46000, value: 27.5, value description: avg, key: 353)
SpeedDeltaInterval(start: 46000, end: 47000, value: 18.5, value description: avg, key: 1088)
SpeedDeltaInterval(start: 48000, end: 49000, value: 30.5, value description: avg, key: 428)
SpeedDeltaInterval(start: 48000, end: 49000, value: 28.0, value description: avg, key: 391)
SpeedDeltaInterval(start: 43000, end: 47000, value: 22.6, value description: avg, key: 729)
SpeedDeltaInterval(start: 43000, end: 47000, value: 19.2, value description: avg, key: 722)
SpeedDeltaInterval(start: 47000, end: 48000, value: 32.5, value description: avg, key: 430)
SpeedDeltaInterval(start: 47000, end: 48000, value: 28.5, value description: avg, key: 445)
SpeedDeltaInterval(start: 45000, end: 47000, value: 18.333333333333332, value description: avg, key: 764)
SpeedDeltaInterval(start: 45000, end: 47000, value: 25.333333333333332, value description: avg, key: 785)
SpeedDeltaInterval(start: 36000, end: 47000, value: 22.916666666666668, value description: avg, key: 811)
SpeedDeltaInterval(start: 47000, end: 48000, value: 32.5, value description: avg, key: 484)
SpeedDeltaInterval(start: 41000, end: 47000, value: 18.142857142857142, value description: avg, key: 318)
SpeedDeltaInterval(start: 38000, end: 49000, value: 24.75, value description: avg, key: 870)
SpeedDeltaInterval(start: 33000, end: 47000, value: 21.933333333333334, value description: avg, key: 511)
SpeedDeltaInterval(start: 47000, end: 48000, value: 36.5, value description: avg, key: 546)
SpeedDeltaInterval(start: 44000, end: 47000, value: 24.5, value description: avg, key: 344)
SpeedDeltaInterval(start: 52000, end: 54000, value: 22.0, value description: avg, key: 1206)
SpeedDeltaInterval(start: 54000, end: 55000, value: 31.0, value description: avg, key: 635)
SpeedDeltaInterval(start: 52000, end: 53000, value: 29.5, value description: avg, key: 625)
SpeedDeltaInterval(start: 52000, end: 53000, value: 29.5, value description: avg, key: 611)
SpeedDeltaInterval(start: 47000, end: 49000, value: 21.5, value description: avg, key: 1126)
SpeedDeltaInterval(start: 49000, end: 52000, value: 20.333333333333332, value description: avg, key: 1126)
SpeedDeltaInterval(start: 54000, end: 55000, value: 30.5, value description: avg, key: 342)
SpeedDeltaInterval(start: 51000, end: 52000, value: 30.5, value description: avg, key: 620)
SpeedDeltaInterval(start: 52000, end: 53000, value: 29.5, value description: avg, key: 616)
SpeedDeltaInterval(start: 51000, end: 52000, value: 31.5, value description: avg, key: 653)
SpeedDeltaInterval(start: 49000, end: 51000, value: 19.0, value description: avg, key: 1183)
SpeedDeltaInterval(start: 49000, end: 53000, value: 18.5, value description: avg, key: 1232)
SpeedDeltaInterval(start: 52000, end: 55000, value: 16.5, value description: avg, key: 1229)
SpeedDeltaInterval(start: 54000, end: 55000, value: 31.5, value description: avg, key: 668)
SpeedDeltaInterval(start: 47000, end: 52000, value: 29.5, value description: avg, key: 257)
SpeedDeltaInterval(start: 54000, end: 55000, value: 30.5, value description: avg, key: 695)
SpeedDeltaInterval(start: 53000, end: 54000, value: 31.5, value description: avg, key: 697)
SpeedDeltaInterval(start: 52000, end: 53000, value: 31.5, value description: avg, key: 688)
SpeedDeltaInterval(start: 47000, end: 49000, value: 23.5, value description: avg, key: 723)
SpeedDeltaInterval(start: 49000, end: 52000, value: 25.333333333333332, value description: avg, key: 723)
SpeedDeltaInterval(start: 54000, end: 55000, value: 30.5, value description: avg, key: 698)
SpeedDeltaInterval(start: 49000, end: 51000, value: 36.0, value description: avg, key: 371)
SpeedDeltaInterval(start: 47000, end: 49000, value: 28.5, value description: avg, key: 384)
SpeedDeltaInterval(start: 49000, end: 52000, value: 29.0, value description: avg, key: 384)
SpeedDeltaInterval(start: 55000, end: 56000, value: 31.5, value description: avg, key: 477)
SpeedDeltaInterval(start: 52000, end: 53000, value: 37.0, value description: avg, key: 736)
SpeedDeltaInterval(start: 54000, end: 55000, value: 35.5, value description: avg, key: 759)
SpeedDeltaInterval(start: 48000, end: 49000, value: 33.5, value description: avg, key: 430)
SpeedDeltaInterval(start: 11000, end: 53000, value: 20.29268292682927, value description: avg, key: 284)
SpeedDeltaInterval(start: 47000, end: 49000, value: 22.5, value description: avg, key: 282)
SpeedDeltaInterval(start: 54000, end: 55000, value: 37.0, value description: avg, key: 818)
SpeedDeltaInterval(start: 48000, end: 49000, value: 25.5, value description: avg, key: 471)
SpeedDeltaInterval(start: 47000, end: 49000, value: 18.5, value description: avg, key: 811)
SpeedDeltaInterval(start: 49000, end: 51000, value: 26.5, value description: avg, key: 476)
SpeedDeltaInterval(start: 31000, end: 51000, value: 18.36842105263158, value description: avg, key: 831)
SpeedDeltaInterval(start: 47000, end: 49000, value: 28.5, value description: avg, key: 451)
SpeedDeltaInterval(start: 49000, end: 52000, value: 29.666666666666668, value description: avg, key: 412)
SpeedDeltaInterval(start: 53000, end: 54000, value: 33.0, value description: avg, key: 599)
SpeedDeltaInterval(start: 54000, end: 56000, value: 32.0, value description: avg, key: 599)
SpeedDeltaInterval(start: 47000, end: 54000, value: 24.333333333333332, value description: avg, key: 844)
SpeedDeltaInterval(start: 51000, end: 52000, value: 30.0, value description: avg, key: 438)
SpeedDeltaInterval(start: 52000, end: 53000, value: 24.5, value description: avg, key: 318)
SpeedDeltaInterval(start: 52000, end: 54000, value: 33.666666666666664, value description: avg, key: 436)
SpeedDeltaInterval(start: 53000, end: 54000, value: 25.5, value description: avg, key: 508)
SpeedDeltaInterval(start: 51000, end: 52000, value: 29.5, value description: avg, key: 512)
SpeedDeltaInterval(start: 53000, end: 54000, value: 32.0, value description: avg, key: 510)
SpeedDeltaInterval(start: 54000, end: 55000, value: 28.5, value description: avg, key: 519)
SpeedDeltaInterval(start: 52000, end: 53000, value: 32.5, value description: avg, key: 535)
SpeedDeltaInterval(start: 45000, end: 49000, value: 27.25, value description: avg, key: 320)
SpeedDeltaInterval(start: 54000, end: 55000, value: 28.5, value description: avg, key: 543)
SpeedDeltaInterval(start: 47000, end: 49000, value: 31.0, value description: avg, key: 538)
SpeedDeltaInterval(start: 47000, end: 49000, value: 28.5, value description: avg, key: 347)
SpeedDeltaInterval(start: 53000, end: 54000, value: 33.0, value description: avg, key: 617)
SpeedDeltaInterval(start: 49000, end: 51000, value: 27.0, value description: avg, key: 188)
SpeedDeltaInterval(start: 51000, end: 52000, value: 28.0, value description: avg, key: 188)
SpeedDeltaInterval(start: 49000, end: 51000, value: 19.0, value description: avg, key: 622)
SpeedDeltaInterval(start: 54000, end: 55000, value: 31.5, value description: avg, key: 532)
SpeedDeltaInterval(start: 53000, end: 54000, value: 33.5, value description: avg, key: 570)
SpeedDeltaInterval(start: 51000, end: 52000, value: 32.5, value description: avg, key: 596)
SpeedDeltaInterval(start: 45000, end: 49000, value: 22.25, value description: avg, key: 1076)
SpeedDeltaInterval(start: 43000, end: 49000, value: 18.333333333333332, value description: avg, key: 1048)
SpeedDeltaInterval(start: 52000, end: 53000, value: 28.5, value description: avg, key: 594)
SpeedDeltaInterval(start: 52000, end: 53000, value: 23.0, value description: avg, key: 323)
SpeedDeltaInterval(start: 52000, end: 53000, value: 30.5, value description: avg, key: 564)
SpeedDeltaInterval(start: 47000, end: 51000, value: 26.666666666666668, value description: avg, key: 1086)
SpeedDeltaInterval(start: 50000, end: 51000, value: 30.5, value description: avg, key: 608)
SpeedDeltaInterval(start: 54000, end: 55000, value: 27.5, value description: avg, key: 601)
SpeedDeltaInterval(start: 54000, end: 55000, value: 34.5, value description: avg, key: 610)
SpeedDeltaInterval(start: 49000, end: 51000, value: 30.5, value description: avg, key: 591)
SpeedDeltaInterval(start: 55000, end: 56000, value: 28.5, value description: avg, key: 615)
SpeedDeltaInterval(start: 56000, end: 57000, value: 20.5, value description: avg, key: 677)
SpeedDeltaInterval(start: 15000, end: 56000, value: 20.175, value description: avg, key: 457)
SpeedDeltaInterval(start: 53000, end: 56000, value: 20.25, value description: avg, key: 820)
SpeedDeltaInterval(start: 53000, end: 56000, value: 28.25, value description: avg, key: 535)
SpeedDeltaInterval(start: 55000, end: 56000, value: 28.5, value description: avg, key: 424)
SpeedDeltaInterval(start: 56000, end: 57000, value: 32.5, value description: avg, key: 592)
SpeedDeltaInterval(start: 54000, end: 56000, value: 27.333333333333332, value description: avg, key: 1097)
SpeedDeltaInterval(start: 56000, end: 57000, value: 32.0, value description: avg, key: 636)
SpeedDeltaInterval(start: 56000, end: 60000, value: 29.333333333333332, value description: avg, key: 402)
SpeedDeltaInterval(start: 56000, end: 62000, value: 24.333333333333332, value description: avg, key: 615)
SpeedDeltaInterval(start: 56000, end: 59000, value: 24.5, value description: avg, key: 1163)
SpeedDeltaInterval(start: 49000, end: 61000, value: 20.818181818181817, value description: avg, key: 1145)
SpeedDeltaInterval(start: 49000, end: 56000, value: 25.285714285714285, value description: avg, key: 1162)
